,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,Adopted,Adopted_scored
4555,Dog,24,Mixed Breed,Male,Brown,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,1,No,No
4556,Cat,4,Domestic Medium Hair,Female,Golden,Yellow,Medium,Medium,No,No,Healthy,0,4,Yes,Yes
4557,Dog,41,German Shepherd Dog,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,1,Yes,Yes
4558,Dog,36,Shih Tzu,Male,Black,No Color,Medium,Short,Yes,Not Sure,Healthy,0,2,Yes,Yes
4559,Cat,36,Tabby,Female,Yellow,White,Small,Short,No,Yes,Minor Injury,0,2,Yes,Yes
4560,Cat,2,Domestic Short Hair,Female,Brown,Gray,Small,Short,No,No,Healthy,0,4,No,Yes
4561,Dog,3,Golden Retriever,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,2,Yes,Yes
4562,Cat,2,Korat,Male,Golden,Cream,Medium,Medium,No,No,Healthy,100,2,Yes,Yes
4563,Cat,1,Domestic Short Hair,Male,Black,Gray,Small,Short,No,No,Healthy,0,0,Yes,Yes
4564,Cat,4,Tonkinese,Female,Black,Gray,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
4565,Dog,0,Mixed Breed,Female,Brown,White,Medium,Medium,No,No,Healthy,0,5,Yes,Yes
4566,Dog,4,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,50,1,Yes,No
4567,Dog,4,German Shepherd Dog,Female,Black,Golden,Medium,Short,Not Sure,Not Sure,Healthy,0,3,Yes,Yes
4568,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,1,Yes,Yes
4569,Cat,16,Domestic Short Hair,Male,Cream,No Color,Small,Medium,No,No,Healthy,0,6,Yes,Yes
4570,Cat,2,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,100,10,Yes,Yes
4571,Cat,8,Domestic Short Hair,Female,White,No Color,Small,Short,No,No,Healthy,0,13,No,Yes
4572,Dog,35,Shih Tzu,Male,Black,White,Medium,Medium,Yes,Yes,Healthy,188,3,Yes,Yes
4573,Cat,3,Domestic Long Hair,Female,White,No Color,Medium,Long,Yes,Yes,Healthy,0,4,Yes,Yes
4574,Dog,2,Mixed Breed,Female,Yellow,No Color,Medium,Short,No,No,Healthy,20,1,Yes,Yes
4575,Dog,48,Golden Retriever,Male,Golden,No Color,Large,Medium,No,No,Minor Injury,0,5,Yes,Yes
4576,Cat,12,Bengal,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,350,4,Yes,Yes
4577,Cat,7,Domestic Short Hair,Male,Cream,White,Medium,Short,Yes,Yes,Healthy,50,3,Yes,Yes
4578,Dog,1,Mixed Breed,Female,Black,White,Medium,Short,No,No,Healthy,0,3,Yes,Yes
4579,Dog,72,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,2,Yes,No
4580,Cat,12,Domestic Short Hair,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,4,Yes,Yes
4581,Dog,36,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,Not Sure,Healthy,0,8,No,No
4582,Dog,4,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,0,2,Yes,No
4583,Cat,7,Domestic Short Hair,Male,Gray,No Color,Medium,Short,Yes,Yes,Healthy,60,3,Yes,Yes
4584,Cat,12,Domestic Medium Hair,Male,Yellow,White,Large,Medium,Yes,Not Sure,Healthy,0,6,No,Yes
4585,Dog,2,Poodle,Male,Cream,No Color,Medium,Long,Yes,No,Healthy,50,4,Yes,Yes
4586,Dog,3,Pomeranian,Male,Black,White,Medium,Medium,Yes,No,Healthy,380,1,Yes,Yes
4587,Cat,4,Domestic Medium Hair,Male,Black,White,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
4588,Dog,3,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,2,Yes,Yes
4589,Cat,6,Domestic Short Hair,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,4,No,Yes
4590,Dog,12,Terrier,Female,Cream,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,5,Yes,Yes
4591,Dog,1,Mixed Breed,Female,Black,Brown,Large,Medium,Yes,No,Healthy,0,3,Yes,Yes
4592,Cat,9,Domestic Medium Hair,Female,White,No Color,Medium,Medium,Yes,No,Healthy,40,4,Yes,Yes
4593,Cat,24,Domestic Short Hair,Female,Brown,Golden,Medium,Short,Yes,Yes,Healthy,0,7,Yes,Yes
4594,Dog,2,Labrador Retriever,Male,Brown,White,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
4595,Cat,4,Domestic Short Hair,Female,Black,No Color,Medium,Short,No,No,Healthy,5,0,Yes,No
4596,Cat,6,Domestic Short Hair,Male,Black,No Color,Small,Short,Yes,Yes,Healthy,0,2,Yes,Yes
4597,Dog,2,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,200,3,Yes,Yes
4598,Dog,6,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,2,Yes,No
4599,Dog,72,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,Not Sure,Healthy,0,1,No,No
4600,Dog,48,Jack Russell Terrier,Male,Brown,White,Small,Short,Yes,Not Sure,Healthy,0,3,Yes,Yes
4601,Dog,84,Mixed Breed,Male,Yellow,No Color,Medium,Short,No,Yes,Healthy,0,3,No,No
4602,Cat,4,Persian,Male,Black,White,Medium,Medium,Yes,No,Healthy,0,3,Yes,Yes
4603,Cat,2,Domestic Short Hair,Female,Gray,White,Small,Short,No,No,Healthy,50,4,Yes,Yes
4604,Cat,3,Domestic Short Hair,Female,Black,White,Medium,Medium,Yes,No,Healthy,0,2,Yes,Yes
4605,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,No,Not Sure,Healthy,5,2,No,Yes
4606,Cat,2,Domestic Medium Hair,Male,Black,Brown,Medium,Medium,No,No,Healthy,50,5,Yes,Yes
4607,Cat,3,Domestic Short Hair,Male,Black,Gray,Medium,Short,No,No,Healthy,0,1,Yes,Yes
4608,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes,Yes
4609,Cat,1,Persian,Female,Black,Brown,Small,Medium,No,No,Healthy,0,2,Yes,Yes
4610,Cat,24,Tabby,Female,Black,Gray,Small,Short,Yes,Yes,Healthy,0,4,Yes,Yes
4611,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
4612,Cat,5,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,2,Yes,Yes
4613,Cat,3,Domestic Medium Hair,Male,Black,White,Small,Medium,No,No,Healthy,0,4,Yes,Yes
4614,Cat,2,Oriental Short Hair,Male,Black,White,Small,Short,Not Sure,Not Sure,Healthy,0,1,No,No
4615,Cat,1,Domestic Short Hair,Male,Black,Gray,Medium,Short,Not Sure,No,Healthy,0,2,Yes,Yes
4616,Cat,6,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,3,No,No
4617,Cat,3,Domestic Short Hair,Female,White,No Color,Small,Short,Yes,No,Healthy,0,2,Yes,Yes
4618,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,2,No,Yes
4619,Cat,3,Domestic Short Hair,Female,Brown,Cream,Small,Short,Not Sure,Not Sure,Healthy,0,6,Yes,Yes
4620,Dog,2,Mixed Breed,Female,Brown,No Color,Large,Short,No,No,Healthy,0,1,Yes,Yes
4621,Cat,15,Siamese,Male,Brown,Cream,Medium,Short,Not Sure,Not Sure,Healthy,0,3,Yes,Yes
4622,Dog,30,Mixed Breed,Male,Black,No Color,Medium,Medium,Yes,Yes,Healthy,0,1,Yes,No
4623,Cat,3,Domestic Short Hair,Male,Black,No Color,Medium,Short,No,No,Healthy,0,20,Yes,Yes
4624,Cat,3,Domestic Short Hair,Male,Brown,Gray,Small,Short,Yes,Yes,Healthy,0,2,Yes,Yes
4625,Cat,6,Domestic Short Hair,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,100,1,No,No
4626,Cat,24,Domestic Long Hair,Male,Black,No Color,Medium,Long,No,Yes,Healthy,0,1,No,No
4627,Cat,1,Domestic Medium Hair,Male,Gray,White,Small,Medium,No,No,Healthy,0,5,Yes,Yes
4628,Cat,2,Domestic Short Hair,Male,Golden,Yellow,Small,Short,No,No,Healthy,0,5,Yes,Yes
4629,Dog,1,Mixed Breed,Male,Brown,Golden,Medium,Medium,No,No,Healthy,0,5,Yes,Yes
4630,Cat,27,Domestic Medium Hair,Female,Golden,Cream,Large,Medium,Yes,Not Sure,Healthy,0,1,No,Yes
4631,Dog,24,Labrador Retriever,Male,Black,No Color,Large,Medium,Yes,Yes,Healthy,0,2,Yes,Yes
4632,Cat,2,Domestic Short Hair,Male,Yellow,White,Small,Short,No,No,Healthy,0,5,Yes,Yes
4633,Cat,2,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,4,Yes,Yes
4634,Dog,4,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,4,Yes,Yes
4635,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,90,1,Yes,No
4636,Dog,24,Mixed Breed,Male,Black,Brown,Large,Medium,Not Sure,No,Healthy,0,5,Yes,Yes
4637,Cat,2,Domestic Medium Hair,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,20,3,No,Yes
4638,Dog,24,Mixed Breed,Female,Black,White,Medium,Short,Yes,Not Sure,Healthy,100,1,No,No
4639,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,20,1,Yes,Yes
4640,Dog,12,Mixed Breed,Female,Cream,No Color,Medium,Short,Yes,Yes,Healthy,0,5,No,Yes
4641,Cat,3,Domestic Medium Hair,Female,Black,Yellow,Medium,Medium,No,No,Healthy,150,8,No,Yes
4642,Cat,3,Domestic Short Hair,Male,Brown,White,Medium,Short,No,No,Healthy,0,0,Yes,No
4643,Cat,2,Domestic Short Hair,Male,Black,No Color,Medium,Short,Yes,Yes,Healthy,100,3,Yes,Yes
4644,Dog,60,Mixed Breed,Male,White,No Color,Small,Medium,Not Sure,Not Sure,Healthy,0,4,Yes,No
4645,Dog,3,Mixed Breed,Female,Black,White,Medium,Short,Yes,No,Healthy,0,9,Yes,Yes
4646,Dog,5,Labrador Retriever,Female,Golden,Cream,Medium,Short,No,Yes,Healthy,0,2,Yes,Yes
4647,Dog,6,Jack Russell Terrier,Female,Brown,White,Medium,Medium,Yes,Yes,Healthy,0,3,Yes,Yes
4648,Cat,3,Domestic Medium Hair,Male,Yellow,No Color,Small,Medium,No,No,Healthy,0,4,Yes,Yes
4649,Cat,2,Persian,Male,Black,White,Medium,Long,No,No,Healthy,600,5,Yes,Yes
4650,Dog,2,Mixed Breed,Male,Black,White,Small,Short,No,No,Healthy,0,2,Yes,Yes
4651,Dog,6,Mixed Breed,Female,Brown,No Color,Small,Short,Yes,No,Healthy,0,2,No,No
4652,Cat,1,Manx,Male,Black,Brown,Medium,Short,No,No,Healthy,0,4,Yes,Yes
4653,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,4,Yes,Yes
4654,Dog,2,Mixed Breed,Male,Brown,Yellow,Small,Short,Yes,No,Healthy,0,2,Yes,Yes
4655,Dog,3,Labrador Retriever,Female,Black,Brown,Medium,Medium,Not Sure,No,Healthy,0,2,Yes,Yes
4656,Dog,36,Mixed Breed,Male,Golden,No Color,Medium,Medium,Yes,No,Healthy,0,2,No,No
4657,Cat,6,Domestic Short Hair,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,4,Yes,Yes
4658,Dog,1,Mixed Breed,Female,Brown,Golden,Small,Short,Yes,No,Healthy,30,5,No,Yes
4659,Dog,10,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,6,No,Yes
4660,Dog,3,Mixed Breed,Female,White,No Color,Medium,Medium,No,No,Healthy,0,3,Yes,Yes
4661,Dog,6,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,150,3,Yes,Yes
4662,Cat,7,Domestic Short Hair,Male,Gray,No Color,Medium,Short,Yes,Yes,Healthy,100,1,Yes,No
4663,Cat,2,Domestic Short Hair,Male,Golden,White,Small,Short,No,No,Healthy,0,5,Yes,Yes
4664,Cat,4,Domestic Short Hair,Female,White,No Color,Medium,Short,Yes,No,Healthy,0,3,Yes,Yes
4665,Cat,1,Calico,Male,Yellow,White,Medium,Medium,No,No,Healthy,0,5,Yes,Yes
4666,Dog,11,Mixed Breed,Female,Black,Cream,Medium,Medium,Yes,Yes,Healthy,0,6,No,Yes
4667,Cat,2,Domestic Short Hair,Female,Brown,Cream,Medium,Medium,No,No,Healthy,20,4,Yes,Yes
4668,Dog,12,Labrador Retriever,Female,Brown,Cream,Small,Long,Yes,Yes,Healthy,0,4,Yes,Yes
4669,Cat,3,Tabby,Female,Black,White,Small,Short,No,No,Healthy,0,14,Yes,Yes
4670,Dog,13,Mixed Breed,Female,Black,No Color,Large,Short,Yes,Not Sure,Healthy,0,3,Yes,No
4671,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,3,Yes,Yes
4672,Cat,2,Domestic Medium Hair,Female,Brown,White,Medium,Short,No,No,Healthy,0,2,Yes,Yes
4673,Dog,7,Jack Russell Terrier,Female,Brown,Cream,Medium,Short,Yes,Yes,Healthy,0,9,Yes,Yes
4674,Dog,16,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,3,Yes,No
4675,Cat,2,Siamese,Male,Brown,Cream,Medium,Medium,No,No,Healthy,50,6,Yes,Yes
4676,Dog,48,Shih Tzu,Male,White,No Color,Small,Short,Yes,No,Healthy,0,4,No,Yes
4677,Dog,14,Spitz,Female,White,No Color,Medium,Short,Yes,Yes,Healthy,0,2,Yes,Yes
4678,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,20,1,Yes,Yes
4679,Dog,2,Mixed Breed,Female,Cream,White,Medium,Medium,No,No,Healthy,0,6,Yes,Yes
4680,Dog,4,Mixed Breed,Female,Yellow,White,Medium,Short,Yes,Not Sure,Healthy,0,5,Yes,Yes
4681,Cat,2,Domestic Short Hair,Female,Brown,Cream,Medium,Short,No,No,Healthy,20,3,Yes,Yes
4682,Cat,2,Domestic Short Hair,Female,Yellow,Cream,Small,Short,No,No,Healthy,0,3,Yes,Yes
4683,Dog,16,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,5,Yes,No
4684,Dog,12,Doberman Pinscher,Male,Black,Brown,Large,Short,Yes,No,Healthy,0,1,Yes,Yes
4685,Dog,8,Mixed Breed,Female,Brown,No Color,Small,Short,No,No,Healthy,0,2,Yes,No
4686,Dog,24,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,1,Yes,No
4687,Cat,1,Domestic Medium Hair,Male,White,No Color,Medium,Medium,No,No,Healthy,0,2,Yes,Yes
4688,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Medium,Not Sure,No,Healthy,0,1,Yes,Yes
4689,Dog,12,Pomeranian,Male,Yellow,No Color,Small,Medium,Not Sure,Not Sure,Healthy,0,2,Yes,Yes
4690,Dog,3,Terrier,Female,Brown,White,Medium,Short,No,No,Healthy,0,2,Yes,Yes
4691,Cat,5,Russian Blue,Female,Golden,Gray,Medium,Short,Yes,No,Healthy,0,6,Yes,Yes
4692,Cat,2,Domestic Short Hair,Female,Black,No Color,Small,Short,No,No,Healthy,0,4,Yes,Yes
4693,Cat,6,Domestic Long Hair,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,5,Yes,Yes
4694,Cat,1,Domestic Short Hair,Male,Black,White,Small,Short,No,No,Healthy,0,2,Yes,Yes
4695,Dog,3,Mixed Breed,Female,Brown,Cream,Large,Short,Yes,No,Healthy,0,15,Yes,Yes
4696,Dog,2,Mixed Breed,Female,Brown,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,2,No,No
4697,Cat,12,Domestic Long Hair,Female,Black,Brown,Medium,Long,Yes,Yes,Healthy,0,5,Yes,Yes
4698,Cat,1,American Shorthair,Male,Black,White,Small,Short,No,No,Healthy,0,2,Yes,Yes
4699,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,2,Yes,Yes
4700,Cat,14,Domestic Short Hair,Female,Brown,Golden,Medium,Short,Not Sure,Yes,Healthy,0,2,Yes,No
4701,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,7,Yes,Yes
4702,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,0,6,Yes,Yes
4703,Dog,6,Mixed Breed,Male,Brown,Golden,Medium,Medium,Yes,Yes,Healthy,0,3,Yes,No
4704,Cat,4,Domestic Medium Hair,Female,Black,No Color,Medium,Medium,No,No,Healthy,0,2,Yes,Yes
4705,Dog,1,Mixed Breed,Male,Brown,White,Medium,Medium,No,No,Healthy,0,3,Yes,Yes
4706,Dog,24,Mixed Breed,Female,Brown,No Color,Small,Short,No,No,Healthy,0,0,No,No
4707,Dog,3,Mixed Breed,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,5,Yes,Yes
4708,Dog,1,Terrier,Female,Black,No Color,Medium,Long,No,No,Healthy,0,6,Yes,Yes
4709,Cat,2,Domestic Medium Hair,Female,Black,Cream,Medium,Medium,No,No,Healthy,0,2,Yes,Yes
4710,Cat,4,Singapura,Female,Black,Yellow,Medium,Short,No,No,Minor Injury,0,3,No,Yes
4711,Cat,2,Domestic Medium Hair,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,4,Yes,Yes
4712,Dog,5,Mixed Breed,Female,Black,Brown,Medium,Long,Yes,Yes,Healthy,0,5,Yes,Yes
4713,Dog,22,Golden Retriever,Male,Golden,No Color,Large,Long,Yes,No,Healthy,0,1,No,Yes
4714,Dog,4,Mixed Breed,Female,Black,Yellow,Medium,Medium,Yes,No,Healthy,0,2,Yes,Yes
4715,Dog,11,Mixed Breed,Male,Black,Brown,Medium,Medium,Not Sure,Not Sure,Healthy,0,4,Yes,Yes
4716,Dog,7,Terrier,Female,Black,No Color,Large,Long,Yes,Yes,Healthy,0,1,No,Yes
4717,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,5,Yes,Yes
4718,Cat,24,Persian,Female,Black,White,Medium,Long,Not Sure,Not Sure,Healthy,160,0,No,No
4719,Dog,24,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,Yes,Healthy,0,5,Yes,No
4720,Dog,7,Mixed Breed,Female,Brown,No Color,Small,Short,Yes,Yes,Healthy,1,4,Yes,No
4721,Dog,2,Mixed Breed,Male,Black,White,Medium,Medium,Yes,No,Healthy,0,3,Yes,Yes
4722,Cat,12,Domestic Short Hair,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,3,No,Yes
4723,Cat,24,Domestic Short Hair,Female,Black,Gray,Medium,Short,Yes,Yes,Healthy,0,17,Yes,Yes
4724,Cat,6,Domestic Short Hair,Female,Brown,Gray,Medium,Short,No,No,Healthy,0,1,Yes,Yes
4725,Dog,3,Labrador Retriever,Male,Black,Cream,Medium,Short,Not Sure,Not Sure,Healthy,0,2,Yes,Yes
4726,Cat,2,Siamese,Female,White,No Color,Small,Short,Not Sure,Not Sure,Healthy,50,5,Yes,Yes
4727,Dog,1,Mixed Breed,Female,White,No Color,Medium,Medium,No,No,Healthy,0,5,No,Yes
4728,Dog,2,Mixed Breed,Female,Cream,No Color,Medium,Short,No,No,Healthy,0,3,Yes,Yes
4729,Dog,3,Miniature Pinscher,Female,Brown,No Color,Small,Short,Yes,No,Healthy,220,2,Yes,Yes
4730,Cat,2,Domestic Short Hair,Male,Black,White,Small,Short,Not Sure,No,Healthy,0,2,Yes,Yes
4731,Dog,2,Spitz,Female,Brown,White,Medium,Medium,Yes,No,Healthy,0,4,Yes,Yes
4732,Dog,2,Rottweiler,Male,Black,Brown,Medium,Medium,No,No,Healthy,150,11,Yes,Yes
4733,Cat,2,Domestic Short Hair,Female,Yellow,Gray,Medium,Medium,No,No,Healthy,0,2,Yes,Yes
4734,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,No,No,Healthy,0,4,Yes,Yes
4735,Dog,15,Maltese,Female,White,No Color,Small,Medium,Yes,Yes,Healthy,0,2,Yes,Yes
4736,Dog,25,Terrier,Female,Golden,Cream,Medium,Long,Yes,Yes,Healthy,0,1,Yes,Yes
4737,Cat,1,Tabby,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,2,Yes,Yes
4738,Dog,1,Mixed Breed,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,2,Yes,Yes
4739,Cat,12,Persian,Female,Cream,Gray,Medium,Long,No,No,Healthy,0,3,Yes,Yes
4740,Cat,1,Siamese,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,1,Yes,Yes
4741,Dog,2,Mixed Breed,Male,White,No Color,Medium,Short,No,No,Healthy,20,1,Yes,Yes
4742,Dog,24,Terrier,Male,White,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,100,3,Yes,Yes
4743,Dog,4,German Shepherd Dog,Male,Black,No Color,Medium,Short,Yes,No,Healthy,200,7,Yes,Yes
4744,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,20,1,Yes,Yes
4745,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,5,Yes,Yes
4746,Cat,1,American Shorthair,Female,Brown,Golden,Small,Short,No,No,Minor Injury,0,3,No,Yes
4747,Cat,0,Domestic Short Hair,Male,Black,Gray,Medium,Short,No,No,Healthy,0,3,Yes,Yes
4748,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,4,Yes,Yes
4749,Cat,5,British Shorthair,Male,Black,White,Medium,Short,No,Not Sure,Healthy,0,1,Yes,Yes
4750,Dog,96,Shih Tzu,Female,Cream,No Color,Medium,Medium,Yes,Yes,Healthy,0,4,No,Yes
4751,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Medium,No,No,Healthy,0,1,Yes,Yes
4752,Cat,6,Calico,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,5,No,Yes
4753,Cat,2,Tabby,Female,Black,Gray,Small,Short,Yes,No,Healthy,0,5,Yes,Yes
4754,Cat,3,Domestic Medium Hair,Male,Black,White,Medium,Medium,No,No,Healthy,0,5,Yes,Yes
4755,Cat,6,Domestic Short Hair,Female,Black,Brown,Medium,Short,No,No,Healthy,30,1,No,Yes
4756,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,5,Yes,Yes
4757,Dog,2,Mixed Breed,Female,Black,Brown,Small,Short,No,No,Healthy,0,1,Yes,Yes
4758,Dog,24,Mixed Breed,Male,Brown,White,Medium,Medium,Yes,Yes,Healthy,50,5,No,No
4759,Dog,36,Pug,Male,Brown,White,Large,Short,Yes,Yes,Minor Injury,0,1,No,Yes
4760,Cat,3,Domestic Medium Hair,Male,Black,Gray,Medium,Medium,No,No,Healthy,0,7,Yes,Yes
4761,Dog,72,Mastiff,Male,Black,Brown,Large,Short,Yes,Yes,Healthy,0,5,No,Yes
4762,Cat,1,Domestic Medium Hair,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,No,Yes
4763,Cat,7,Domestic Short Hair,Female,White,No Color,Small,Short,Yes,Yes,Healthy,0,3,Yes,Yes
4764,Dog,0,Akita,Female,Black,Brown,Small,Short,No,No,Minor Injury,0,2,Yes,Yes
4765,Dog,1,Mixed Breed,Female,Black,Brown,Small,Medium,No,No,Healthy,0,15,Yes,Yes
4766,Dog,12,Dalmatian,Male,Black,White,Small,Short,Not Sure,Yes,Healthy,0,2,No,Yes
4767,Cat,24,Domestic Short Hair,Female,Gray,No Color,Small,Short,Yes,Not Sure,Healthy,0,3,Yes,Yes
4768,Cat,3,Siamese,Male,Black,White,Medium,Short,No,Yes,Healthy,0,9,Yes,Yes
4769,Cat,3,Domestic Short Hair,Female,Black,White,Medium,Short,Not Sure,Not Sure,Healthy,0,1,Yes,Yes
4770,Cat,3,Siamese,Female,Cream,No Color,Small,Short,No,No,Healthy,0,3,Yes,Yes
4771,Dog,1,Mixed Breed,Male,Black,No Color,Small,Short,No,No,Healthy,0,1,Yes,Yes
4772,Dog,1,Border Collie,Female,Black,White,Medium,Medium,No,No,Healthy,200,5,Yes,Yes
4773,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,No,Healthy,0,1,Yes,Yes
4774,Cat,5,Domestic Medium Hair,Male,Black,Golden,Small,Medium,No,No,Healthy,0,10,Yes,Yes
4775,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,5,No,Yes
4776,Dog,1,Mixed Breed,Male,Brown,No Color,Medium,Medium,Not Sure,Not Sure,Healthy,0,1,No,No
4777,Dog,5,Terrier,Female,White,No Color,Medium,Medium,Yes,No,Healthy,0,2,Yes,Yes
4778,Dog,8,Jack Russell Terrier,Female,Brown,White,Small,Short,Yes,No,Healthy,0,2,Yes,Yes
4779,Cat,6,Domestic Short Hair,Female,Golden,Yellow,Small,Medium,Not Sure,Not Sure,Healthy,1,1,No,No
4780,Cat,12,Domestic Short Hair,Male,White,No Color,Medium,Short,Yes,Not Sure,Healthy,0,1,Yes,No
4781,Cat,5,Calico,Female,Black,Brown,Small,Short,Yes,Yes,Healthy,200,6,No,Yes
4782,Dog,12,Pug,Female,Cream,No Color,Small,Short,Yes,Yes,Healthy,0,3,Yes,Yes
4783,Dog,3,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,2,Yes,Yes
4784,Dog,17,Schnauzer,Female,Gray,No Color,Small,Medium,Not Sure,Yes,Healthy,0,4,Yes,Yes
4785,Dog,10,Beagle,Female,Black,Brown,Medium,Short,Yes,Not Sure,Healthy,0,4,Yes,Yes
4786,Dog,10,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,No,Healthy,0,13,Yes,Yes
4787,Cat,3,Domestic Short Hair,Female,Black,Brown,Medium,Short,No,No,Healthy,15,2,Yes,Yes
4788,Cat,2,American Shorthair,Female,Gray,No Color,Medium,Short,No,No,Healthy,20,1,Yes,Yes
4789,Cat,4,Domestic Short Hair,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,2,No,Yes
4790,Cat,6,Domestic Medium Hair,Male,Cream,No Color,Medium,Medium,Not Sure,No,Healthy,0,3,Yes,Yes
4791,Cat,20,Turkish Angora,Male,Brown,Cream,Large,Long,Yes,Yes,Healthy,100,2,No,Yes
4792,Cat,24,Domestic Short Hair,Female,Black,Brown,Medium,Short,No,No,Healthy,0,1,Yes,No
4793,Dog,117,Shih Tzu,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,3,Yes,Yes
4794,Cat,5,Domestic Short Hair,Male,White,No Color,Medium,Short,No,No,Healthy,0,1,Yes,Yes
4795,Cat,2,American Curl,Male,Gray,White,Medium,Long,Yes,No,Healthy,400,10,Yes,Yes
4796,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,40,1,Yes,Yes
4797,Dog,1,Mixed Breed,Female,Brown,White,Small,Short,No,No,Healthy,0,3,No,Yes
4798,Cat,6,Tabby,Female,Gray,No Color,Medium,Short,No,No,Healthy,50,4,Yes,Yes
